Time (s),Current (mA),Position
0.0159503,3,1659
0.0740527,17,1661
0.138153,19,1671
0.202108,-19,1713
0.266088,-18,1766
0.330121,28,1765
0.39409,20,1744
0.45808,20,1750
0.522077,-33,1799
0.586066,-18,1859
0.650004,1,1863
0.714073,16,1843
0.778075,19,1853
0.842058,-51,1906
0.906141,-19,1971
0.970065,2,1978
1.03405,19,1959
1.09801,20,1963
1.16204,-44,2008
1.22605,-20,2070
1.29006,26,2073
1.35396,22,2055
1.41796,20,2078
1.48195,-44,2140
1.546,-18,2212
1.60995,-18,2220
1.67396,20,2192
1.73797,19,2156
1.80199,19,2170
1.86595,-36,2227
1.93,-21,2301
1.9939,25,2308
2.05795,22,2293
2.12196,20,2317
2.18592,-35,2380
2.24994,-19,2458
2.31394,-16,2467
2.3779,10,2437
2.44185,20,2399
2.50589,21,2416
2.56996,-24,2474
2.63386,-19,2552
2.69784,21,2560
2.76184,18,2542
2.82584,20,2549
2.88985,-18,2599
2.95389,-20,2669
